"author"	"published_at"	"updated_at"	"like_count"	"text"
"@tiabrown5259"	"2025-02-14T05:34:58Z"	"2025-02-14T05:34:58Z"	"1"	"SAMUEL L JACKSON- “only reason I’m here”???"
"@build.time.silence.free.6902"	"2025-02-14T05:34:50Z"	"2025-02-14T05:34:50Z"	"0"	"🎉🎉🎉.  Está Cabron!!! 😮🎉🎉🎉🎉"
"@ちばってこ"	"2025-02-14T05:34:17Z"	"2025-02-14T05:34:17Z"	"1"	"I was very scared when it comes to realize the last song of tv off appeals to Drake watching through his TV🥶 Perhaps,he’ve been already determined the song for especially devoted to the half time show and him🥶"
"@Zela30"	"2025-02-14T05:33:59Z"	"2025-02-14T05:33:59Z"	"0"	"Bruh this is gonna be one of those videos were gonna have to keep coming back too LOL -- KDot really finished Drake on the bigstage"
"@JuliaBrownc"	"2025-02-14T05:33:59Z"	"2025-02-14T05:33:59Z"	"0"	"Great job, this video was very useful!"
"@Clumsywumsy14"	"2025-02-14T05:33:41Z"	"2025-02-14T05:33:41Z"	"0"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=419"">6:59</a>"
"@CarmenMartinez-nl2yz"	"2025-02-14T05:33:35Z"	"2025-02-14T05:33:35Z"	"0"	"I really like it a lot cheers to Lamar 🙌"
"@ducksfolif977"	"2025-02-14T05:33:11Z"	"2025-02-14T05:33:11Z"	"0"	"EVERY TIME I WATCH IT IT GETS BETTER"
"@patrickmcguire9671"	"2025-02-14T05:33:08Z"	"2025-02-14T05:33:08Z"	"0"	"Zzz... tired of Kendrick. Predicting everyone else will be by the end of the year."
"@runfourcover"	"2025-02-14T05:31:25Z"	"2025-02-14T05:31:25Z"	"0"	"I loved the melody and the unforgettable harmonies"
"@Tek_edits0"	"2025-02-14T05:30:51Z"	"2025-02-14T05:30:51Z"	"0"	"The S when Luther starts is wonderful 😂😅😅😊"
"@srao1738"	"2025-02-14T05:30:42Z"	"2025-02-14T05:30:42Z"	"0"	"Back to watch this again. Performance was unbelievable."
"@Ph.i1l"	"2025-02-14T05:30:40Z"	"2025-02-14T05:30:40Z"	"0"	"Back again"
"@Loriharvey-m7x"	"2025-02-14T05:30:34Z"	"2025-02-14T05:30:34Z"	"2"	"Pray for me Im depressed and lonely"
"@BerrysCool"	"2025-02-14T05:30:30Z"	"2025-02-14T05:30:30Z"	"1"	"Drake Sueing Fr Fr💀"
"@finished6267"	"2025-02-14T05:30:11Z"	"2025-02-14T05:30:11Z"	"0"	"cool fact about Apple... Steve jobs was SYRIAN . him and his boy had a big music festival in California.... he insisted there be NO BLACK ACTS. To keep the &quot;riff raff&quot; out... SOUND FAMILIAR?  Buying Nike buying Apple buying noose buying PLAN B .. Buying a cage... Why not BUY 40 ACRES? other continents WANT OUR BLESSING THAT COMES WITH US ... This is OUR LAND . Im out .... Ill come back when they stop spraying roach spray salting my earth , etc. why sit still and get repeatedly graped? its not smart. consider going to The motherland and setting up an expat community? country? our own country or town? resources trade clean air and water... come on man we are fba we cant be stopped. without us this place FALLS APART. Stop worshipping celebrities and picked negroes. The TV isnt your friend. break the spell. LOVE KEDRICK DONT GET IT TWISTED but Im speaking to my family."
"@Valtrxo"	"2025-02-14T05:30:05Z"	"2025-02-14T05:30:05Z"	"0"	"The only consent I can afford 💔"
"@1Loayza"	"2025-02-14T05:30:00Z"	"2025-02-14T05:30:00Z"	"0"	"So good. It gets better and better with each view 😊"
"@scottovegtable"	"2025-02-14T05:29:50Z"	"2025-02-14T05:29:50Z"	"0"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=90"">1:30</a> I died"
"@marshoneddings4831"	"2025-02-14T05:29:42Z"	"2025-02-14T05:29:42Z"	"1"	"you cant fake the views"
"@KennethWolf-oi8dc"	"2025-02-14T05:28:46Z"	"2025-02-14T05:28:46Z"	"3"	"Best Half time show Ever."
"@palmdale1984"	"2025-02-14T05:28:05Z"	"2025-02-14T05:28:05Z"	"0"	"I think Id rather watch an old man jack off the air to YMCA again. Thats obviously way cooler."
"@UWAMARIYADonatha-i5d"	"2025-02-14T05:28:05Z"	"2025-02-14T05:28:05Z"	"1"	"This video was amazing, learned a lot."
"@boibuoy8654"	"2025-02-14T05:27:56Z"	"2025-02-14T05:27:56Z"	"0"	"cant hear him turn his mic up please"
"@AimstarNandra"	"2025-02-14T05:27:46Z"	"2025-02-14T05:27:46Z"	"1"	"&quot;A&quot; for &quot;A MINOR&quot;"
"@UBEE2ME"	"2025-02-14T05:27:34Z"	"2025-02-14T05:27:34Z"	"0"	"S/o to Kendick for including Debbie Deb &quot;when I hear music&quot;"
"@deborahg8457"	"2025-02-14T05:27:23Z"	"2025-02-14T05:27:23Z"	"2"	"Here for my daily dose"
"@mark3273"	"2025-02-14T05:27:15Z"	"2025-02-14T05:27:15Z"	"0"	"If wasnt the color scheme, no big event. Same ol same. My as seen 75 cent"
"@Nacho_Mama_"	"2025-02-14T05:27:13Z"	"2025-02-14T05:27:13Z"	"1"	"Happy Black History Month 2025"
"@COMMONFOLKMUSIC"	"2025-02-14T05:27:03Z"	"2025-02-14T05:27:03Z"	"0"	"0616 was spelled out during A minooooorrrr 😅😅😅😅😅 look at it"
"@tianalightbourne7658"	"2025-02-14T05:26:43Z"	"2025-02-14T05:26:43Z"	"0"	"Yal put this on the Simpsons too aye umhh dead on the ride God Run this not yal fake opatunatist 🤔💯"
"@empathicaries4644"	"2025-02-14T05:26:32Z"	"2025-02-14T05:26:32Z"	"1"	"Im back for the 5th time. Kendrick is an amazing artist. This type of story telling will be studied❤❤🔥"
"@MINANIJean-f2n"	"2025-02-14T05:25:58Z"	"2025-02-14T05:25:58Z"	"2"	"This was exactly what I needed, thanks!"
"@OktaFierce"	"2025-02-14T05:25:42Z"	"2025-02-14T05:25:42Z"	"0"	"WTF even was that? Can anyone translate ebonics for me?"
"@DallasCreatesOfficial"	"2025-02-14T05:25:38Z"	"2025-02-14T05:25:38Z"	"1"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=681"">11:21</a> everybody screaming minor is crazy"
